{\rtf1\ansi\ansicpg1252\cocoartf2706
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 y,x,method\
6,3,1\
4,1,1\
5,3,1\
3,1,1\
4,2,1\
3,1,1\
6,4,1\
8,4,2\
9,5,2\
7,5,2\
9,4,2\
8,3,2\
5,1,2\
7,2,2\
6,3,3\
7,2,3\
7,2,3\
7,3,3\
8,4,3\
5,1,3\
7,4,3}
