"","x"
"1",22
"2",35
"3",38
"4",23
"5",29
"6",29
"7",32
"8",31
"9",24
"10",37
"11",35
"12",28
"13",24
"14",30
"15",29
"16",39
"17",33
"18",26
"19",31
"20",33
"21",27
"22",22
"23",30
"24",30
"25",33
"26",28
"27",22
"28",22
"29",30
"30",32
"31",27
"32",27
"33",38
"34",20
"35",27
"36",26
"37",32
"38",25
"39",27
"40",35
"41",30
"42",35
"43",30
"44",40
"45",29
"46",27
"47",27
"48",28
"49",31
"50",26
"51",33
"52",38
"53",31
"54",36
"55",33
"56",33
"57",26
"58",21
"59",22
"60",31
"61",31
"62",35
"63",31
"64",28
"65",28
"66",29
"67",22
"68",30
"69",31
"70",29
"71",25
"72",33
"73",35
"74",31
"75",28
"76",29
"77",26
"78",25
"79",34
"80",21
"81",28
"82",31
"83",34
"84",32
"85",30
"86",28
"87",40
"88",27
"89",43
"90",37
"91",24
"92",29
"93",29
"94",28
"95",29
"96",25
"97",34
"98",39
"99",31
"100",46
"101",38
"102",30
"103",41
"104",39
"105",31
"106",42
"107",45
"108",21
"109",28
"110",29
"111",36
"112",28
"113",24
"114",23
"115",36
"116",35
"117",18
"118",55
"119",21
"120",28
"121",24
"122",50
"123",23
"124",21
"125",27
"126",27
"127",43
"128",27
"129",26
"130",26
"131",30
"132",32
"133",43
"134",39
"135",22
"136",33
"137",24
"138",50
"139",32
"140",23
"141",32
"142",59
"143",36
"144",29
"145",39
"146",24
"147",28
"148",50
"149",32
"150",41
"151",50
"152",44
"153",48
"154",24
"155",26
"156",29
"157",40
"158",29
"159",54
"160",20
"161",51
"162",33
"163",28
"164",37
"165",20
"166",30
"167",36
"168",26
"169",26
"170",33
"171",20
"172",31
"173",62
"174",33
"175",22
"176",46
"177",27
"178",29
"179",36
"180",25
"181",32
"182",21
"183",27
"184",38
"185",27
"186",44
"187",52
"188",33
"189",28
"190",37
"191",28
"192",32
"193",29
"194",31
"195",42
"196",32
"197",28
"198",38
"199",27
"200",19
"201",27
"202",28
"203",29
"204",31
"205",27
"206",43
"207",43
"208",24
"209",34
"210",30
"211",59
"212",33
"213",41
"214",58
"215",24
"216",39
"217",33
"218",43
"219",29
"220",28
"221",21
"222",35
"223",32
"224",42
"225",23
"226",30
"227",27
"228",41
"229",33
"230",58
"231",26
"232",50
"233",45
"234",66
"235",33
"236",32
"237",53
"238",28
"239",22
"240",19
"241",35
"242",51
"243",30
"244",29
"245",32
"246",45
"247",28
"248",36
"249",40
"250",34
"251",24
"252",39
"253",33
"254",26
"255",36
"256",46
"257",21
"258",63
"259",30
"260",50
"261",50
"262",34
"263",40
"264",46
"265",41
"266",29
"267",53
"268",39
"269",39
"270",24
"271",26
"272",25
"273",59
"274",28
"275",29
"276",35
"277",25
"278",36
"279",42
"280",25
"281",27
"282",45
"283",37
"284",47
"285",24
"286",53
"287",26
"288",49
"289",24
"290",19
"291",26
"292",30
"293",26
"294",36
"295",24
"296",47
"297",51
"298",28
"299",48
"300",37
"301",47
"302",34
"303",37
"304",25
"305",32
"306",42
"307",33
"308",34
"309",42
"310",29
"311",55
"312",32
"313",25
"314",31
"315",45
"316",39
"317",50
"318",29
"319",50
"320",43
"321",63
"322",35
"323",19
"324",62
"325",44
"326",30
"327",24
"328",40
"329",63
"330",45
"331",53
"332",36
"333",22
"334",19
"335",32
"336",61
"337",20
"338",34
"339",34
"340",36
"341",29
"342",30
"343",40
"344",28
"345",20
"346",40
"347",43
"348",19
"349",60
"350",66
"351",39
"352",28
"353",34
"354",32
"355",34
"356",29
"357",26
"358",43
"359",44
"360",32
"361",37
"362",30
"363",26
"364",23
"365",31
"366",34
"367",48
"368",35
"369",25
"370",27
"371",27
"372",22
"373",35
"374",26
"375",32
"376",32
"377",23
"378",40
"379",47
"380",31
"381",30
"382",25
"383",33
"384",54
"385",30
"386",45
"387",30
"388",49
"389",32
"390",24
"391",57
"392",41
"393",37
"394",35
"395",40
"396",50
"397",40
"398",37
"399",60
"400",47
"401",29
"402",29
"403",22
"404",44
"405",57
"406",43
"407",20
"408",29
"409",30
"410",25
"411",39
"412",41
"413",30
"414",23
"415",49
"416",59
"417",39
"418",38
"419",59
"420",26
"421",33
"422",46
"423",36
"424",40
"425",29
"426",30
"427",30
"428",33
"429",29
"430",23
"431",33
"432",28
"433",31
"434",29
"435",44
"436",28
"437",47
"438",24
"439",28
"440",40
"441",24
"442",20
"443",39
"444",52
"445",39
"446",33
"447",26
"448",31
"449",27
"450",60
"451",52
"452",42
"453",31
"454",38
"455",26
"456",32
"457",40
"458",32
"459",31
"460",32
"461",22
"462",37
"463",33
"464",44
"465",18
"466",38
"467",23
"468",33
"469",24
"470",32
"471",27
"472",39
"473",47
"474",33
"475",38
"476",42
"477",42
"478",21
"479",35
"480",38
"481",34
"482",27
"483",29
"484",27
"485",23
"486",33
"487",25
"488",31
"489",24
"490",49
"491",23
"492",23
"493",22
"494",48
"495",27
"496",30
"497",59
"498",27
"499",24
"500",32
"501",24
"502",32
"503",30
"504",40
"505",18
"506",29
"507",32
"508",27
"509",56
"510",35
"511",20
"512",30
"513",43
"514",27
"515",30
"516",58
"517",31
"518",34
"519",41
"520",27
"521",37
"522",35
"523",26
"524",28
"525",32
"526",38
"527",42
"528",25
"529",34
"530",46
"531",31
"532",26
"533",37
"534",28
"535",21
"536",50
"537",24
"538",24
"539",32
"540",50
"541",33
"542",38
"543",49
"544",35
"545",20
"546",22
"547",32
"548",25
"549",26
"550",23
"551",43
"552",28
"553",44
"554",22
"555",31
"556",65
"557",36
"558",35
"559",40
"560",30
"561",26
"562",23
"563",27
"564",36
"565",41
"566",45
"567",48
"568",26
"569",23
"570",28
"571",29
"572",42
"573",33
"574",52
"575",25
"576",61
"577",28
"578",35
"579",34
"580",59
"581",31
"582",19
"583",29
"584",55
"585",45
"586",49
"587",21
"588",27
"589",24
"590",25
"591",44
"592",52
"593",30
"594",58
"595",33
"596",44
"597",31
"598",38
"599",47
"600",29
"601",28
"602",40
"603",64
"604",52
"605",37
"606",33
"607",58
"608",43
"609",27
"610",57
"611",64
"612",41
"613",35
"614",26
"615",52
"616",45
"617",24
"618",26
"619",25
"620",35
"621",25
"622",33
"623",41
"624",26
"625",27
"626",25
"627",39
"628",35
"629",30
"630",21
"631",48
"632",25
"633",27
"634",20
"635",31
"636",37
"637",55
"638",37
"639",24
"640",32
"641",18
"642",19
"643",22
"644",23
"645",36
"646",19
"647",30
"648",43
"649",19
"650",36
"651",32
"652",32
"653",33
"654",27
"655",30
"656",26
"657",34
"658",23
"659",38
"660",57
"661",31
"662",41
"663",30
"664",27
"665",33
"666",33
"667",38
"668",45
"669",36
"670",32
"671",28
"672",34
"673",30
"674",34
"675",61
"676",31
"677",21
"678",38
"679",24
"680",31
"681",34
"682",33
"683",27
"684",31
"685",45
"686",33
"687",27
"688",41
"689",29
"690",25
"691",47
"692",30
"693",21
"694",29
"695",32
"696",33
"697",42
"698",23
"699",23
"700",43
"701",23
"702",28
"703",38
"704",26
"705",39
"706",28
"707",20
"708",46
"709",28
"710",29
"711",30
"712",36
"713",34
"714",39
"715",33
"716",22
"717",39
"718",40
"719",34
"720",26
"721",30
"722",38
"723",38
"724",25
"725",36
"726",24
"727",35
"728",27
"729",32
"730",40
"731",33
"732",33
"733",32
"734",34
"735",24
"736",25
"737",31
"738",35
"739",22
"740",23
"741",23
"742",36
"743",26
"744",47
"745",39
"746",26
"747",34
"748",24
"749",34
"750",50
"751",30
"752",28
"753",32
"754",38
"755",25
"756",24
"757",27
"758",32
"759",31
"760",40
"761",30
"762",29
"763",27
"764",27
"765",23
"766",26
"767",40
"768",25
"769",37
"770",35
"771",31
"772",28
"773",23
"774",38
"775",23
"776",30
"777",22
"778",27
"779",25
"780",26
"781",25
"782",35
"783",30
