"mother","daughter"
60,55
58,56
61,56
61,57
62,56
56,58
55,57
57,58
58,57
57,57
58,58
60,57
59,58
60,58
60,57
60,58
62,58
62,58
63,57
65,58
57,58
57,59
58,58
57,59
59,58
58,58
59,59
59,59
59,59
60,58
60,59
60,59
60,58
66,59
57,60
58,59
58,60
57,60
59,59
58,59
58,59
59,59
59,59
58,60
60,60
59,60
59,59
59,60
60,59
60,60
60,60
59,59
59,60
59,59
60,60
60,59
60,59
61,59
60,60
60,60
60,59
61,59
61,59
61,59
60,59
61,59
60,59
61,59
62,60
61,59
61,60
62,59
62,59
62,60
61,59
61,59
62,60
63,60
62,60
63,59
63,60
64,59
67,60
56,60
56,61
57,61
58,60
58,61
58,61
57,61
57,60
58,61
59,60
59,61
58,60
59,60
58,61
58,60
59,61
58,60
59,60
60,61
60,60
59,60
59,61
60,60
59,61
59,61
60,60
60,60
60,61
59,61
59,60
60,60
59,60
60,61
60,60
60,60
60,61
60,60
60,61
60,61
61,61
61,60
60,61
61,60
60,60
61,60
61,60
60,60
60,60
61,60
60,60
61,61
61,60
61,60
62,60
61,61
62,60
62,60
62,60
62,61
61,60
62,60
61,60
62,61
62,61
61,60
62,60
62,60
62,60
62,60
62,61
62,60
62,61
62,61
62,60
62,61
62,60
63,60
62,60
62,61
62,61
62,61
63,60
62,60
62,60
63,61
64,61
63,60
64,61
64,60
64,60
63,60
64,61
63,60
63,60
63,60
63,61
63,61
64,61
63,60
64,61
64,61
63,60
64,61
64,60
65,61
65,60
65,60
66,60
66,60
66,60
69,61
57,61
58,62
57,61
59,62
58,62
58,61
59,62
59,61
59,61
59,62
59,61
60,62
59,61
60,62
60,62
59,61
60,61
59,62
60,61
60,62
60,62
59,62
60,61
60,62
60,62
59,61
59,61
59,61
59,62
60,61
60,62
61,62
60,62
60,61
60,61
61,61
60,61
61,61
60,62
61,62
61,62
61,61
61,62
60,61
61,62
60,61
61,61
61,61
62,62
62,62
62,62
62,62
61,61
61,62
62,61
62,61
61,61
62,62
62,62
62,62
61,62
62,62
62,61
62,62
62,61
61,61
62,62
61,62
61,62
61,62
61,62
62,62
61,61
61,62
61,61
61,61
62,61
62,62
61,61
61,61
61,62
62,62
63,61
62,62
62,61
63,62
